name_key,total_inspections,total_violations,avg_violation_count,fails,BusinessName,address,latitude,longitude,last_inspection_date,facility_rating_status,fail_rate
1 HOTEL SAN FRANCISCO TERRENE,4,0,0.0,0,1 hotel san francisco terrene,8 mission street,37.7935617,-122.3930866,2023-01-12,0,0.0
1 VERJUS CAVE 2 VERJUS,5,0,0.0,0,1 verjus cave 2 verjus,550 washington street,37.79586889999999,-122.4027079,2025-03-05,0,0.0
1001 CASTRO STREET,2,3,1.5,0,1001 castro street,1001 castro street,37.753587,-122.434038,2024-10-23,0,0.0
100137 CLOUD CLUB,3,0,0.0,0,100137 cloud club,24 willie mays plaza suites level,37.7783491,-122.3877002,2023-04-21,0,0.0
1010 MARKET,4,10,2.5,0,1010 market,1010 market street,37.782045,-122.4110025,2025-05-19,0,0.0
1064 MISSION CHEFS KITCHEN AND CLASSROOM ROOMS 154 162,2,12,6.0,0,1064 mission chefs kitchen and classroom rooms 154 162,1068 mission street,37.780488,-122.410404,2025-06-25,0,0.0
1064 MISSION CHEFS TRAINING ROOM 155,1,0,0.0,0,1064 mission chefs training room 155,1068 mission street,37.780488,-122.410404,2025-06-17,0,0.0
11 DINING,6,4,0.6666666666666666,0,11 dining,1155 battery street,37.8018,-122.402322,2025-06-11,0,0.0
111 DOGGIE DINER EXPRESS,4,7,1.75,0,111 doggie diner express,49 s van ness avenue 7th floor,37.774431,-122.418045,2025-03-19,0,0.0
111 MINNA GALLERY RED DOOR COFFEE,1,0,0.0,0,111 minna gallery red door coffee,111 minna street,37.787378,-122.399459,2022-09-19,0,0.0
114 EXTRA MILE MARKET,4,0,0.0,0,114 extra mile market,49 s van ness avenue 7th floor,37.774431,-122.418045,2025-03-21,0,0.0
1200 MARKET STREET SF,2,0,0.0,0,1200 market street sf,1200 market street,37.778652,-122.415291,2025-05-20,0,0.0
126 PORTABLE ALCOVE,7,10,1.4285714285714286,0,126 portable alcove,49 s van ness avenue 7th floor,37.774431,-122.418045,2025-06-12,0,0.0
14 PEAKS,5,15,3.0,1,14 peaks,2848 23rd street,37.754514,-122.4091395,2025-02-28,0,0.2
1428 HAIGHT,13,13,1.0,0,1428 haight,1428 haight street,37.7702852,-122.4459497,2025-04-23,0,0.0
14TH STREET LAUNDROMAT,2,0,0.0,0,14th street laundromat,217 14th street,37.768194,-122.41827,2025-01-21,0,0.0
15 ROMOLO,2,0,0.0,0,15 romolo,15 romolo place,37.798244,-122.406324,2024-10-28,0,0.0
1501 CORTLAND ST,4,0,0.0,0,1501 cortland st,1501 cortland street,37.7399962,-122.409386,2022-07-22,0,0.0
1601 BAR KITCHEN,3,10,3.3333333333333335,0,1601 bar kitchen,1601 howard street,37.771398,-122.416803,2025-04-22,0,0.0
16TH STREET DINER,2,3,1.5,0,16th street diner,3147 16th street,37.76463,-122.423094,2025-05-22,0,0.0
1734 PIZZERIA,1,0,0.0,0,1734 pizzeria,514 octavia street,37.77696,-122.424507,2024-11-18,0,0.0
1760,3,0,0.0,0,1760,1760 polk street,37.7931114,-122.4209327,2023-06-07,0,0.0
17TH BALBOA MARKET,2,5,2.5,0,17th balboa market,1601 balboa street,37.776501,-122.476167,2025-06-11,0,0.0
17TH COLE MARKET,3,1,0.3333333333333333,0,17th cole market,1400 cole street,37.761534,-122.448969,2024-08-21,0,0.0
17TH NOE MARKET,4,1,0.25,0,17th noe market,3900 17th street,37.762638,-122.433242,2024-12-31,0,0.0
18 REASONS,5,3,0.6,0,18 reasons,3674 18th street,37.761714,-122.4254205,2025-06-10,0,0.0
18TH STREET COMMISSARY,8,0,0.0,3,18th street commissary,3334 18th street,37.761965,-122.417948,2023-05-10,0,0.375
1905 CLEMENT LIQUOR,2,0,0.0,0,1905 clement liquor,1905 clement street,37.782009,-122.4797625,2024-03-12,0,0.0
1906 MISSION,1,3,3.0,0,1906 mission,1906 mission street,37.766466,-122.4201645,2024-08-01,0,0.0
1945 RESTAURANT BAR LOUNGE,4,25,6.25,0,1945 restaurant bar lounge,5 leland avenue,37.711089,-122.4040545,2024-11-19,0,0.0
19TH AVE CHEVRON,2,1,0.5,0,19th ave chevron,1401 19th avenue,37.7615231,-122.4772403,2025-01-02,0,0.0
19TH AVE SHELL,2,1,0.5,0,19th ave shell,1200 19th avenue,37.765278,-122.477112,2024-05-24,0,0.0
19TH AVENUE LIQUOR,1,0,0.0,0,19th avenue liquor,1800 19th avenue,37.754118,-122.4760995,2024-06-13,0,0.0
20 SPOT MISSION,7,8,1.1428571428571428,0,20 spot mission,3565 20th street,37.758458,-122.4204128,2025-01-14,0,0.0
200 CHANNELS,3,0,0.0,0,200 channels,111 6th street,37.780965,-122.408325,2025-03-11,0,0.0
21 FLAVORS WINGS,1,0,0.0,0,21 flavors wings,475 06th street k16,37.7763724,-122.4027509,2023-06-15,1,0.0
21 TASTE HOUSE,6,21,3.5,1,21 taste house,1109 ocean avenue,37.723257,-122.4544005,2024-08-20,0,0.16666666666666666
2130 IRVING SEAFOOD MARKET,4,14,3.5,0,2130 irving seafood market,2130 irving street,37.7636449,-122.4809791,2025-06-11,0,0.0
21ST AMENDMENT,2,6,3.0,0,21st amendment,563 2nd street,37.78254,-122.392476,2025-02-25,0,0.0
21ST AMENDMENT BREWERY,4,0,0.0,0,21st amendment brewery,563 02nd street,37.782364,-122.392662,2023-02-06,0,0.0
2227 IRVING SEAFOOD MARKET,7,10,1.4285714285714286,0,2227 irving seafood market,2227 irving street,37.7631778,-122.4819282,2025-06-11,0,0.0
22ND IRVING PRODUCE MARKET INC,5,1,0.2,0,22nd irving produce market inc,2101 irving street,37.763172,-122.480559,2025-01-17,0,0.0
23RD GUERRERO LIQUOR STORE,3,2,0.6666666666666666,0,23rd guerrero liquor store,3558 23rd street,37.75383,-122.4228375,2024-08-07,0,0.0
23RD MISSION PRODUCE,6,8,1.3333333333333333,0,23rd mission produce,2700 mission street,37.7539331,-122.4187931,2025-05-12,0,0.0
24 BART LIQUOR STORE,2,5,2.5,0,24 bart liquor store,3347 24th street bldg,37.75196999,-122.419379,2025-06-03,0,0.0
24 HOUR FITNESS,3,4,1.3333333333333333,0,24 hour fitness,45 montgomery street,37.789911,-122.4022995,2025-04-04,0,0.0
24 HOUR FITNESS USA,1,2,2.0,0,24 hour fitness usa,1645 bryant street,37.766475,-122.410422,2025-01-08,0,0.0
24 HR CONVENIENCE MKT,2,0,0.0,0,24 hr convenience mkt,793 divisadero street,37.776594,-122.438144,2022-10-13,0,0.0
25TH CLEMENT MEAT DELI,6,2,0.3333333333333333,0,25th clement meat deli,2346 clement street,37.78226799999999,-122.4846027,2024-11-19,0,0.0
25TH CLEMENT PRODUCE MARKET,1,1,1.0,0,25th clement produce market,2354 clement street,37.782279,-122.4847305,2024-11-15,0,0.0
25TH IRVING MARKET,18,14,0.7777777777777778,4,25th irving market,2425 irving street,37.763001,-122.48406,2025-03-04,0,0.2222222222222222
301 BATTERY,2,0,0.0,0,301 battery,301 battery street fl 2nd,37.794294,-122.4007965,2022-09-09,0,0.0
319W AMPM STAND,1,0,0.0,0,319w ampm stand,1 warriors way,37.768005,-122.3875755,2024-12-06,0,0.0
324N POPCORN CART,1,0,0.0,0,324n popcorn cart,1 warriors way,37.768005,-122.3875755,2024-12-06,0,0.0
33RD AVE LIQUOR,1,1,1.0,0,33rd ave liquor,6928 geary boulevard,37.779903,-122.493753,2024-06-12,0,0.0
3J FAMILY MARKET,6,0,0.0,0,3j family market,198 broad street,37.7133768,-122.4588872,2022-10-11,0,0.0
3RD BAPTIST FELLOWSHIP HALL,2,0,0.0,0,3rd baptist fellowship hall,1399 mcallister street,37.778233,-122.434677,2023-06-15,0,0.0
3RD COUSIN,5,4,0.8,0,3rd cousin,919 cortland avenue,37.739133,-122.41368,2024-06-11,0,0.0
3RD FLOOR BANQUET KITCHEN W SAN FRANCISCO,2,2,1.0,0,3rd floor banquet kitchen w san francisco,181 third street,37.785474,-122.400468,2024-08-29,0,0.0
4 STAR THEATER,1,1,1.0,0,4 star theater,2200 clement street,37.78236,-122.482944,2024-03-06,0,0.0
415 MARKET KITCHEN,3,3,1.0,0,415 market kitchen,701 larkin street,37.784349,-122.4178875,2025-03-03,0,0.0
415 MISSION STREET TENANT,2,0,0.0,0,415 mission street tenant,415 mission street 37th flr coffee bar,37.7898162,-122.3969054,2023-03-27,0,0.0
4505 BURGERS AND BBQ,3,9,3.0,0,4505 burgers and bbq,705 divisadero street,37.776168,-122.438358,2025-03-28,0,0.0
475 SIXTH STREET SF,1,5,5.0,0,475 sixth street sf,475 sixth street,37.776582,-122.4026145,2024-09-05,0,0.0
49 SQUARE CATERING,4,0,0.0,0,49 square catering,1760 cesar chavez street m,37.7504953,-122.3948735,2022-07-26,0,0.0
49ERS LIQUORS AND GROCERIES,1,4,4.0,0,49ers liquors and groceries,3701 mission street,37.737243,-122.423787,2024-06-14,0,0.0
5 DEGREE TEA HOUSE,5,2,0.4,0,5 degree tea house,2527 san bruno avenue,37.729753,-122.40447,2024-08-26,0,0.0
50 50,1,6,6.0,0,50 50,3157 geary boulevard,37.781442,-122.452965,2025-02-12,1,0.0
500 CLUB,3,15,5.0,0,500 club,500 guerrero street,37.76301,-122.424228,2025-03-20,0,0.0
500 COLUMBUS,5,21,4.2,0,500 columbus,500 columbus avenue,37.799883,-122.4092835,2025-06-04,0,0.0
54 MINT WINE BAR,4,0,0.0,0,54 mint wine bar,16 mint plaza,37.782777,-122.407877,2022-11-08,0,0.0
5815 3RD STREET HOLDINGS,1,0,0.0,0,5815 3rd street holdings,5815 3rd street,37.72503,-122.3939835,2024-07-25,0,0.0
5TH AVE DELI MARKET,4,13,3.25,0,5th ave deli market,4 embarcadero ctr bldg r41,37.78202933,-122.3880642,2025-05-20,0,0.0
5TH AVENUE DELI MARKET,5,0,0.0,0,5th avenue deli market,4 embarcadero center,37.7953898,-122.3961067,2023-02-21,0,0.0
6 TABLES,2,0,0.0,0,6 tables,1849 union street,37.797543,-122.4296775,2024-11-01,0,0.0
6001 CALIFORNIA MARKET,9,0,0.0,0,6001 california market,6001 california street,37.783984,-122.481969,2023-02-24,0,0.0
620 JONES,7,17,2.4285714285714284,0,620 jones,620 jones street,37.787117,-122.413186,2025-04-11,0,0.0
6TH STREET MARKET,1,4,4.0,0,6th street market,64 6th street,37.781181,-122.4093735,2025-03-06,0,0.0
7 ELEVEN 20473,4,0,0.0,0,7 eleven 20473,2222 taraval street,37.742448,-122.490032,2023-04-28,0,0.0
7 ELEVEN 20473C,2,3,1.5,0,7 eleven 20473c,2222 taraval street,37.74267,-122.4900585,2025-04-10,0,0.0
7 ELEVEN 23342F,2,0,0.0,0,7 eleven 23342f,3080 san jose avenue,37.7098384,-122.4579677,2022-04-29,0,0.0
7 ELEVEN 2366 20450C,2,3,1.5,0,7 eleven 2366 20450c,1388 46th avenue,37.760688,-122.505606,2025-06-17,0,0.0
7 ELEVEN 2366 20643D,3,0,0.0,0,7 eleven 2366 20643d,2000 ocean avenue,37.7265288,-122.4646146,2023-04-06,0,0.0
7 ELEVEN 2366 34977,2,0,0.0,0,7 eleven 2366 34977,527 sutter street,37.789118,-122.409048,2022-03-09,0,0.0
7 ELEVEN 2366 35696A,7,4,0.5714285714285714,0,7 eleven 2366 35696a,221 sansome street,37.792395,-122.4012825,2025-04-25,0,0.0
7 ELEVEN 2366 35722A,6,0,0.0,0,7 eleven 2366 35722a,4850 geary boulevard,37.7810935,-122.4715136,2023-06-29,0,0.0
7 ELEVEN 34977B,1,0,0.0,0,7 eleven 34977b,527 sutter street,37.788885,-122.40909,2025-01-21,0,0.0
7 ELEVEN STORE 2231 33006B,6,8,1.3333333333333333,1,7 eleven store 2231 33006b,2650 mason street,37.807888,-122.414027,2025-06-17,0,0.16666666666666666
7 ELEVEN STORE 2366 20450C,5,0,0.0,0,7 eleven store 2366 20450c,1388 46th avenue,37.7607583,-122.50567,2023-07-05,0,0.0
7 ELEVEN STORE 2366 21389F,5,0,0.0,0,7 eleven store 2366 21389f,2200 bayshore boulevard,37.712166,-122.402934,2022-03-22,0,0.0
7 ELEVEN STORE 2366 22627D,7,3,0.42857142857142855,1,7 eleven store 2366 22627d,5100 geary boulevard,37.7808368,-122.4741754,2024-02-20,0,0.14285714285714285
7 ELEVEN STORE 2366 39475B,5,0,0.0,1,7 eleven store 2366 39475b,3400 mission,37.7422192,-122.4223927,2023-07-25,0,0.2
7 MISSION,6,10,1.6666666666666667,0,7 mission,150 7th street,37.7784,-122.4103095,2024-12-19,0,0.0
7 SOCIAL,2,0,0.0,0,7 social,65 post street,37.78875,-122.4030465,2024-10-29,0,0.0
705 COLUMBUS,1,0,0.0,0,705 columbus,705 columbus avenue,37.801233,-122.4118215,2024-02-13,0,0.0
707 SUTTER,8,6,0.75,0,707 sutter,707 sutter street,37.788552,-122.4121185,2025-03-18,0,0.0
77 CHINESE CUISINE,6,0,0.0,0,77 chinese cuisine,77 battery street,37.791984,-122.399754,2022-11-16,0,0.0
7TH AND CLEMENT MARKET,1,0,0.0,0,7th and clement market,538 clement street,37.783179,-122.465124,2024-12-13,0,0.0
826 VALENCIA,1,1,1.0,0,826 valencia,826 valencia street,37.759554,-122.4217035,2024-07-30,0,0.0
826 VALENCIA MISSION BAY,1,0,0.0,0,826 valencia mission bay,1310 4th street,37.771677,-122.3914455,2024-08-01,0,0.0
828 IRVING MARKET,3,0,0.0,0,828 irving market,828 irving street,37.76427,-122.4669195,2025-05-08,0,0.0
85C BAKERY,7,0,0.0,0,85c bakery,3251 20th avenue 158 op184a,37.72804319999999,-122.4765398,2023-01-26,0,0.0
88 LAUNDROMATE CLEANERS,1,0,0.0,0,88 laundromate cleaners,1744 clement street,37.782531,-122.478201,2025-02-03,0,0.0
90 CHARTER OAK AVE SF,11,20,1.8181818181818181,0,90 charter oak ave sf,90 charter oak avenue,37.73682,-122.40531,2025-04-22,0,0.0
901 COLUMBUS,5,4,0.8,0,901 columbus,901 columbus avenue,37.802898,-122.414346,2024-12-02,0,0.0
915 STOCKTON ST SAN FRANCISCO CA 94134,3,0,0.0,0,915 stockton st san francisco ca 94134,915 stockton street,37.794267,-122.4081495,2024-08-01,0,0.0
94635 BABY BULL CART,2,0,0.0,0,94635 baby bull cart,24 willie mays place upper cf sec 143,37.7783491,-122.3877002,2023-04-21,0,0.0
94635 EMPLOYEE TRAINING ROOM,1,0,0.0,0,94635 employee training room,24 willie mays place room 999,37.7783491,-122.3877002,2023-04-21,0,0.0
94637 DOGGIE DINER GREAT HOUSE BEER,4,0,0.0,0,94637 doggie diner great house beer,24 willie mays place room 2142,37.7783491,-122.3877002,2023-04-21,0,0.0
94640 SAY HEY SAUSAGE CARVERY,4,0,0.0,0,94640 say hey sausage carvery,24 willie mays plaza rm 2127,37.7783491,-122.3877002,2023-05-31,0,0.0
94641 DOGGIE DINER,2,0,0.0,0,94641 doggie diner,24 willie mays place rm 5318,37.7783491,-122.3877002,2022-04-08,0,0.0
94644 DERBY GRILL,4,0,0.0,0,94644 derby grill,24 willie mays place rm 5323,37.7783491,-122.3877002,2023-04-21,0,0.0
94649 DOGGIE DINER GARLIC FRIES TONY S PIZZA,4,0,0.0,0,94649 doggie diner garlic fries tony s pizza,24 willie mays place rm 1144,37.7783491,-122.3877002,2023-04-21,0,0.0
94652 GILROY GARLIC FRIES,3,0,0.0,0,94652 gilroy garlic fries,24 willie mays place rm 2118,37.7783491,-122.3877002,2022-04-08,0,0.0
94654 DERBY GRILL TONY S PIZZA,4,0,0.0,0,94654 derby grill tony s pizza,24 willie mays place rm 2103,37.7783491,-122.3877002,2023-04-21,0,0.0
94658 PORTABLE 6,4,0,0.0,0,94658 portable 6,24 willie mays place,37.7783491,-122.3877002,2023-05-31,0,0.0
94660 PORTABLE 2 POPCORN,3,0,0.0,0,94660 portable 2 popcorn,24 willie mays place,37.7783491,-122.3877002,2023-04-21,0,0.0
