feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,label
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,819.0,0.0,1
0.0,,,0.0,0.5,7.0,0.0,0
0.0,,,0.0,0.3333333333333333,212.0,0.0,0
0.0,37.77813,-122.391855,,,,,0
1.0,37.77813,-122.391855,0.0,0.0,20.0,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,14.0,0.0,0
0.0,,,0.0,0.0,517.0,0.0,0
0.0,,,0.0,0.0,208.0,0.0,0
0.0,37.795743,-122.4027045,0.0,0.0,778.0,0.0,0
3.0,37.753587,-122.434038,,,,,0
0.0,37.753587,-122.434038,3.0,0.0,12.0,,0
0.0,,,,,,0.0,0
0.0,,,0.0,0.0,182.0,0.0,0
0.0,,,0.0,0.0,378.0,0.0,0
0.0,37.782045,-122.4110025,,,,0.0,0
10.0,37.782045,-122.4110025,0.0,0.0,60.0,0.0,0
0.0,37.782045,-122.4110025,5.0,0.0,46.0,0.0,0
0.0,37.782045,-122.4110025,3.333333333333333,0.0,10.0,0.0,0
9.0,37.780488,-122.410404,,,,,0
3.0,37.780488,-122.410404,9.0,0.0,8.0,,0
0.0,37.780488,-122.410404,,,,,0
0.0,37.8018,-122.402322,,,,-2.0,0
0.0,37.8018,-122.402322,0.0,0.0,51.0,-2.0,0
4.0,37.8018,-122.402322,0.0,0.0,167.0,-2.0,0
0.0,37.8018,-122.402322,1.3333333333333333,0.0,13.0,-2.0,0
0.0,37.8018,-122.402322,1.3333333333333333,0.0,56.0,-2.0,0
0.0,37.8018,-122.402322,1.3333333333333333,0.0,29.0,-2.0,0
0.0,37.774431,-122.418045,,,,1.0,0
0.0,37.774431,-122.418045,0.0,0.0,2.0,1.0,0
2.0,37.774431,-122.418045,0.0,0.0,34.0,1.0,0
0.0,37.774431,-122.418045,0.6666666666666666,0.0,69.0,1.0,0
0.0,37.787378,-122.399459,,,,,0
0.0,37.774431,-122.418045,,,,0.0,0
0.0,37.774431,-122.418045,0.0,0.0,2.0,0.0,0
0.0,37.774431,-122.418045,0.0,0.0,103.0,0.0,0
0.0,37.774431,-122.418045,0.0,0.0,2.0,0.0,0
1.0,37.77813,-122.391855,,,,,0
1.0,37.77813,-122.391855,1.0,0.0,300.0,,0
4.0,37.77813,-122.391855,,,,,0
0.0,37.77813,-122.391855,4.0,0.0,288.0,,0
0.0,37.778652,-122.415291,,,,,0
0.0,37.778652,-122.415291,0.0,0.0,251.0,,0
0.0,37.77813,-122.391855,,,,-0.5,0
1.0,37.77813,-122.391855,0.0,0.0,2.0,-0.5,0
2.0,37.77813,-122.391855,0.5,0.0,34.0,-0.5,0
0.0,37.77813,-122.391855,1.0,0.0,69.0,-0.5,0
0.0,37.77813,-122.391855,1.0,0.0,2.0,-0.5,0
0.0,37.774431,-122.418045,,,,0.0,0
5.0,37.774431,-122.418045,0.0,0.0,2.0,0.0,0
5.0,37.774431,-122.418045,2.5,0.0,34.0,0.0,0
0.0,37.774431,-122.418045,3.333333333333333,0.0,69.0,0.0,0
0.0,37.774431,-122.418045,3.333333333333333,0.0,2.0,0.0,0
0.0,37.774431,-122.418045,1.6666666666666667,0.0,3.0,0.0,0
0.0,37.774431,-122.418045,0.0,0.0,80.0,0.0,0
5.0,37.754514,-122.4091395,,,,-0.5,1
1.0,37.754514,-122.4091395,5.0,1.0,65.0,-0.5,0
8.0,37.754514,-122.4091395,3.0,0.5,312.0,-0.5,1
0.0,37.754514,-122.4091395,4.666666666666667,0.6666666666666666,1.0,-0.5,0
1.0,37.754514,-122.4091395,3.0,0.3333333333333333,16.0,-0.5,0
