permit_number,dba,canonical_name,street_address,canonical_address,latitude,longitude,inspection_date,facility_rating_status,violation_count,matched_place_id,match_score,place_id,name,address,rating,user_ratings_total,types,lat,lng,business_status
06734928,Surfside - Walk Thru,surfside,24 WILLIE MAYS PLZ # PROMEN,3rd street king street,37.77813,-122.391855,2025-04-23,Pass,,,,,,,,,,,,
06735187,HARBOR EMPEROR,harbor emperor,41 EMBARCADERO,41 embarcadero,37.78712630518,-122.38792458839,2025-04-23,Conditional Pass,4.0,,,,,,,,,,,
06743776,RA @ BLOOMBERG FLOOR 22,ra bloomberg floor 22,140 NEW MONTGOMERY ST FL 22,140 new montgomery street,37.786617,-122.400018,2025-04-23,Pass,,,,,,,,,,,,
102419,MOKUKU,mokuku,332 CLEMENT ST,332 clement street,37.783269,-122.4629325,2025-04-23,Pass,,,,,,,,,,,,
06734548,STEEP CREAMERY & TEA - SECTION 110,steep creamery tea section 110,24 WILLIE MAYS PLZ,3rd street king street,37.77813,-122.391855,2025-04-23,Pass,,,,,,,,,,,,
06735126,CABLE CAR BAR-PROMENADE- Sec 116,cable car bar promenade sec 116,24 WILLIE MAYS PLZ # PROMEN,3rd street king street,37.77813,-122.391855,2025-04-23,Pass,1.0,,,,,,,,,,,
06734966,"TAHOE BLUE, CABLE CAR BAR- 318",tahoe blue cable car bar 318,24 WILLIE MAYS PLZ # VIEW L,3rd street king street,37.77813,-122.391855,2025-04-23,Pass,,,,,,,,,,,,
06744072,BLUE MOON VIEW LEVEL 5319,blue moon view level 5319,24 WILLIE MAYS PLZ # # 5319,3rd street king street,37.77813,-122.391855,2025-04-23,Pass,,,,,,,,,,,,
06734988,MARGARITA BEER CART- Sec 314,margarita beer cart sec 314,24 WILLIE MAYS PLZ # VIEW L,3rd street king street,37.77813,-122.391855,2025-04-23,Pass,,,,,,,,,,,,
06743905,LYCEE FRANCAIS DE SAN FRANCISCO,lycee francais de san francisco,1201 ORTEGA ST,1201 ortega street,37.751994,-122.476842,2025-04-23,Pass,,,,,,,,,,,,
06733543,KHAO TIEW,khao tiew,272 CLAREMONT BLVD,272 claremont boulevard,37.741113,-122.4651375,2025-04-23,Pass,5.0,ChIJLWA0dIt9j4AR3g3Oo_CocNc,80.51282051282051,ChIJLWA0dIt9j4AR3g3Oo_CocNc,Khao Tiew,"272 Claremont Blvd, San Francisco, CA 94127, United States",4.6,210.0,"restaurant, food, point_of_interest, establishment",37.7410872,-122.4650679,OPERATIONAL
06734877,PREMIUM COMMISSARY ROOM- Field Club,premium commissary room field club,24 WILLIE MAYS PLZ # FIELD,3rd street king street,37.77813,-122.391855,2025-04-23,Pass,,,,,,,,,,,,
06743921,ZHEN'S KITCHEN,zhen s kitchen,674 BROADWAY,674 broadway,37.797984,-122.4082215,2025-04-22,Pass,,,,,,,,,,,,
34598,EL CASTILLITO TAQUERIA,el castillito taqueria,136 CHURCH ST,136 church street,37.768725,-122.4294435,2025-04-22,Pass,2.0,,,,,,,,,,,
06743758,HILLCUB,hillcub,827 SACRAMENTO ST,827 sacramento street,37.793169,-122.406534,2025-04-22,Pass,,,,,,,,,,,,
ME 99810,Equinox Fitness Union Street,equinox fitness union street,2055 UNION ST,2055 union street,37.79712,-122.433084,2025-04-22,nan,,,,,,,,,,,,
30999,HONEY HONEY CAFE,honey honey,599 POST ST,599 post street,37.787715,-122.4114075,2025-04-22,Pass,9.0,,,,,,,,,,,
69691,1601 BAR & KITCHEN,1601 bar kitchen,1601 HOWARD ST,1601 howard street,37.771398,-122.416803,2025-04-22,Pass,3.0,,,,,,,,,,,
06744041,TBD (Previously ANCHOR & HOPE),tbd,49 S Van Ness Ave 7th Floor,49 s van ness avenue 7th floor,37.774431,-122.418045,2025-04-22,Pass,,,,,,,,,,,,
