feature1,feature2
-0.3308004,-0.5437734
0.2950083,-0.7888962
0.026756538,0.5412829
0.16709742,0.5936076
-0.026529739,0.79779786
1.0,-0.9460695
-0.99778074,0.6091704
0.37620184,-0.06979853
0.27685517,0.5261455
0.40704817,-0.60985976
0.12858005,-0.68096846
0.33196244,-0.6938635
-0.5239994,0.9847349
-0.2639977,-0.293754
0.46865094,0.10405179
-0.5374885,0.4059738
-0.04969265,-0.44304314
-0.28154504,0.62050015
1.0,-0.99150425
-0.50237936,-0.27153578
0.4695529,-0.99762243
0.9999358,-0.78583795
0.1680269,0.5664413
-0.023160197,0.5852816
-0.058464453,0.079376414
0.42330986,-0.5476678
-0.33453625,0.42503715
0.7230869,-0.33396813
0.1594288,-0.39144447
0.5296785,-0.7091877
-0.4838969,-0.99996656
0.59996355,0.580596
0.09792132,0.26799983
0.29995215,-0.5559431
0.3028105,-0.5149386
0.57254434,-0.99963063
-0.4688592,0.513331
0.005825863,0.9858603
0.2838731,-1.0
0.6873946,-0.6258992
-0.24142087,-0.6279773
-0.6652888,0.40848708
0.9714521,0.48173013
-0.17373268,0.50363415
-0.5372509,0.5955809
-0.7003699,-0.5027173
0.03186246,0.6306273
-0.035328083,0.9870026
-0.7342409,0.49848342
-0.49299005,-0.4684398
0.15316863,-0.6766173
0.555905,-0.4559361
-0.0929817,-0.6944484
0.4063835,-0.32369536
0.42451704,0.18583715
-0.21436632,0.6010085
-0.7096203,-0.2832491
-0.8611252,0.36187637
0.9999995,0.02984174
0.118691154,0.6471979
-0.48042658,-0.01917131
0.63438106,-0.5427513
0.2989044,0.030234566
0.38241926,-0.5485903
0.067353085,-0.47851118
0.8613688,0.21123686
-0.3768575,-0.985766
-0.5335267,0.62498677
-0.67108595,-0.0516331
-0.20988676,-0.21628922
0.8993148,-0.6780311
-0.7186182,-0.14079386
-0.34023803,-0.14866579
-0.49961796,-0.35669214
0.22422174,-0.3900825
0.4283522,-0.2783705
0.9549462,-0.6769737
-0.09936857,0.32517627
0.9999678,-0.7617343
-0.7245272,-0.32472056
-0.06682196,0.6604382
0.2603689,-0.98121417
-0.6672523,-0.040350795
-0.42498893,-0.87900734
-0.13433534,0.9999848
-0.99978024,0.54173255
0.28817138,0.009397483
1.0,-0.2396521
-0.085681826,0.32197514
0.6623605,0.35131887
0.52370983,0.07189179
0.5020479,-0.2573463
-0.08164611,-0.9999888
-0.7004699,0.14292032
-0.24142623,-0.12728721
-0.9497991,-0.93918175
0.036728684,-0.6392421
0.31461158,0.3807606
-0.54363537,-0.8366609
0.47107697,-0.3398318
0.29049677,-0.6614883
-0.42583743,0.35588133
0.41101244,-0.61887723
0.56374997,-0.64286196
0.5496935,-0.010073708
-0.21845433,0.53134865
-0.40641132,0.82355946
-0.084261544,0.020486215
0.71562344,-0.52405226
0.292388,0.61511564
-0.5422246,0.48607558
0.49567664,-0.09662962
0.38657126,-0.26427364
0.20824403,0.43613616
0.74842894,0.39656502
0.5205757,-0.64814425
1.0,-0.85924494
0.8174991,-0.99315214
-0.9999941,0.4443262
-0.6413729,0.13977183
0.07148003,-0.99995375
0.51870495,0.15031195
-0.9999998,0.34190458
0.08630759,0.33422777
-0.28397027,-0.3078875
-0.9787364,-0.34845304
0.9878015,-0.63768405
0.86384934,-0.5086977
-0.29298195,0.2155835
0.7013235,-1.0
0.34659606,0.999472
0.28250915,-0.35842347
0.30578652,0.4602582
0.44613835,0.60962725
0.4690178,0.56190383
0.99998176,-0.21155334
0.58124477,-0.4940529
-0.5318457,-0.6804444
0.99983156,-0.7397607
1.0,-0.9208827
0.79227245,-1.0
-0.6705625,0.024645627
0.65872926,0.84328604
-0.34574714,0.35734916
-0.57790416,-0.22236508
-0.12415761,0.07728928
-0.40377071,0.53232086
0.05328804,-0.3060741
0.5931918,-0.19068344
0.29410654,0.9999997
-0.23289129,0.07333062
-0.6602796,-0.040796198
-0.4738374,0.99945194
0.48363647,0.62477165
-0.062046837,-0.09500575
-0.33872932,-0.8615958
-0.1718158,-0.99999887
0.633779,-0.7902141
0.17798588,0.99999315
0.7516054,-0.29546788
0.7910856,-0.81528986
-0.12096075,0.4368091
-0.3136502,-0.2534463
0.33613962,0.45065543
-1.0,-0.12159202
-0.67786866,0.053189356
-0.16472073,-0.8730873
-0.5220522,-0.0060434947
0.43509427,-0.6561005
-0.67118305,0.0024675378
0.63151515,-0.64932007
0.3170908,0.022353427
-0.65531397,-0.014097546
-0.21805994,0.9996359
0.21489197,-0.6223214
0.25209683,-0.0014529218
0.11982196,-0.5623537
0.304509,-0.9464395
0.6914847,0.22459772
-0.2997959,-0.106645554
-0.27369592,0.4246668
-0.46289873,0.5916255
0.31660286,0.9999997
0.31923786,-0.54636943
0.40876257,-0.66372997
0.5362608,-0.4578034
0.5572845,0.44068438
-0.28187656,0.22535487
-0.6296341,0.49905115
-0.078111045,-0.20291397
-0.65381587,0.5563535
0.17492282,-0.50804234
-0.38567188,-0.34023973
0.1901538,-0.43473673
0.61281854,0.74102753
-0.09551013,-0.9834092
-0.7206248,0.43812382
0.10163638,-0.5184146
-0.4959922,0.012652512
-0.98862207,-0.13370852
